omega,delta_chi2
1.872632632632632976e+01,2.397038305632143107e+01
1.880330330330330568e+01,2.692178806157522430e+01
1.888028028028028160e+01,2.976150479241598035e+01
1.895725725725726107e+01,3.228600176252668774e+01
1.903423423423423699e+01,3.436699455317081942e+01
1.911121121121121647e+01,3.595117950731773249e+01
1.918818818818819238e+01,3.704192764574712271e+01
1.926516516516516830e+01,3.767044923381800459e+01
1.934214214214214422e+01,3.786684000978196707e+01
1.941911911911912370e+01,3.764114544940362350e+01
1.949609609609609961e+01,3.698109085288703568e+01
1.957307307307307553e+01,3.586742296787045348e+01
1.965005005005005501e+01,3.430173390075778883e+01
1.972702702702703093e+01,3.233722571123502831e+01
1.980400400400400684e+01,3.010153261180187201e+01
1.988098098098098632e+01,2.780272196833525555e+01
1.995795795795796224e+01,2.571417202070368546e+01
2.003493493493493816e+01,2.413983149319945909e+01
2.011191191191191407e+01,2.336693435179896028e+01
2.018888888888889355e+01,2.361716796039162602e+01
2.026586586586586947e+01,2.500836776955986807e+01
2.034284284284284539e+01,2.753637732464492416e+01
2.041981981981982486e+01,3.108117399727922603e+01
2.049679679679680078e+01,3.543440351836019175e+01
2.057377377377377670e+01,4.033953769149704982e+01
2.065075075075075617e+01,4.553307087219124583e+01
2.072772772772773209e+01,5.077626784361014955e+01
2.080470470470470801e+01,5.587118427694733214e+01
2.088168168168168393e+01,6.066024589791582855e+01
2.095865865865866340e+01,6.501371423146687789e+01
2.103563563563563932e+01,6.881248501932937245e+01
2.111261261261261524e+01,7.193418472887117332e+01
2.118958958958959471e+01,7.424854561149905408e+01
2.126656656656657063e+01,7.562435944755684147e+01
2.134354354354354655e+01,7.594623412291387865e+01
2.142052052052052602e+01,7.513625375526660832e+01
2.149749749749750194e+01,7.317436197831786160e+01
2.157447447447447786e+01,7.011199152061251993e+01
2.165145145145145378e+01,6.607562627285729207e+01
2.172842842842843325e+01,6.125974556874650290e+01
2.180540540540540917e+01,5.591111345730885773e+01
2.188238238238238509e+01,5.030799976808575025e+01
2.195935935935936456e+01,4.473831887748129077e+01
