omega,delta_chi2
1.449259259259259380e+01,1.723842912466559341e+01
1.456956956956957150e+01,1.814321781674443201e+01
1.464654654654654742e+01,1.894296807683537764e+01
1.472352352352352511e+01,1.956232002537795012e+01
1.480050050050050103e+01,1.992660421621242861e+01
1.487747747747747873e+01,1.997234256322003887e+01
1.495445445445445642e+01,1.965646248919133399e+01
1.503143143143143234e+01,1.896252965977954830e+01
1.510840840840841004e+01,1.790290207332466821e+01
1.518538538538538596e+01,1.651664636488445836e+01
1.526236236236236365e+01,1.486409985502970166e+01
1.533933933933934135e+01,1.301975752778543338e+01
1.541631631631631727e+01,1.106541027434336755e+01
1.549329329329329497e+01,9.085074383049208890e+00
1.557027027027027088e+01,7.162408100525326837e+00
1.564724724724724858e+01,5.380344499695286054e+00
1.572422422422422628e+01,3.821913577231655257e+00
1.580120120120120220e+01,2.570889233095217996e+00
1.587817817817817989e+01,1.711024297113435066e+00
1.595515515515515581e+01,1.323134284577949460e+00
1.603213213213213351e+01,1.479972591183706276e+00
1.610910910910911298e+01,2.239490884400448856e+00
1.618608608608608890e+01,3.637518978973063533e+00
1.626306306306306482e+01,5.681041356014075561e+00
1.634004004004004074e+01,8.343120097730718498e+00
1.641701701701702021e+01,1.156023117181339011e+01
1.649399399399399613e+01,1.523248012985388300e+01
1.657097097097097205e+01,1.922693522306152403e+01
1.664794794794795152e+01,2.338416493708028199e+01
1.672492492492492744e+01,2.752791584436893757e+01
1.680190190190190336e+01,3.147760282150655442e+01
1.687887887887888283e+01,3.506282772957946037e+01
1.695585585585585875e+01,3.813851515369277934e+01
1.703283283283283467e+01,4.059861048077651446e+01
1.710980980980981059e+01,4.238589431754107295e+01
1.718678678678679006e+01,4.349561632901314567e+01
1.726376376376376598e+01,4.397151362449497469e+01
1.734074074074074190e+01,4.389429037136572731e+01
1.741771771771772137e+01,4.336446153325215391e+01
1.749469469469469729e+01,4.248308111191359870e+01
1.757167167167167321e+01,4.133474326045354275e+01
1.764864864864865268e+01,3.997699105182128676e+01
1.772562562562562860e+01,3.843882205626476889e+01
1.780260260260260452e+01,3.672862238784193778e+01
1.787957957957958399e+01,3.484918309763393296e+01
1.795655655655655991e+01,3.281522659027609734e+01
1.803353353353353583e+01,3.066782928529151420e+01
1.811051051051051175e+01,2.848070645106395204e+01
