mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
4.328510916699120692e+00,4.379443716873425707e+00,4.353902839700950267e+00,1.300000000000000000e+01,1.621310952289146456e+01,-7.979806695700999430e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.379443716873425707e+00,4.430975834037688799e+00,4.405134422011926176e+00,9.000000000000000000e+00,1.612865935147696916e+01,-1.775042383676580515e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.430975834037688799e+00,4.483114320245855211e+00,4.456968837027883268e+00,1.000000000000000000e+01,1.605532443103961882e+01,-1.511220630500890838e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.483114320245855211e+00,4.535866310532108869e+00,4.509413178171548964e+00,1.400000000000000000e+01,1.599289094631675567e+01,-4.983334576075289513e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.535866310532108869e+00,4.589239023887276225e+00,4.562474622332660878e+00,1.900000000000000000e+01,1.594115656578799012e+01,7.661209433235294242e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.589239023887276225e+00,4.643239764246740009e+00,4.616160430850112739e+00,1.600000000000000000e+01,1.589993029763333077e+01,2.509602844001463176e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.643239764246740009e+00,4.697875921489959694e+00,4.670477950505651954e+00,2.000000000000000000e+01,1.586903229582251917e+01,1.036994797749813735e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.697875921489959694e+00,4.753154972451761218e+00,4.725434614529270938e+00,1.500000000000000000e+01,1.584829362328134650e+01,-2.130860151916603440e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.753154972451761218e+00,4.809084481945526512e+00,4.781037943616426311e+00,1.700000000000000000e+01,1.583755597823992645e+01,2.920975853636981756e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.809084481945526512e+00,4.865672103798418746e+00,4.837295546957227188e+00,1.300000000000000000e+01,1.583667138911167882e+01,-7.128154031787083955e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.865672103798418746e+00,4.922925581898790703e+00,4.894215123277739998e+00,1.300000000000000000e+01,1.584550188257421510e+01,-7.148351138257243997e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.922925581898790703e+00,4.980852751255922861e+00,4.951804461893538623e+00,1.700000000000000000e+01,1.586391912891905775e+01,2.852357808191812727e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.980852751255922861e+00,5.039461539072222607e+00,5.010071443775656164e+00,1.400000000000000000e+01,1.589180406819948921e+01,-4.745582786821650467e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.039461539072222607e+00,5.098759965828046248e+00,5.069024042629077798e+00,1.300000000000000000e+01,1.592904652023032064e+01,-7.338906911920866083e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.098759965828046248e+00,5.158756146379280594e+00,5.128670325983923028e+00,1.800000000000000000e+01,1.597554478107375253e+01,5.065010338054560801e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.158756146379280594e+00,5.219458291067845757e+00,5.189018456299471005e+00,2.300000000000000000e+01,1.603120520827840778e+01,1.740502251705777992e+00,1.000000000000000000e+00,1.000000000000000000e+00
