name,amplitude,phase,omega,scale,bins,generator,injected,trial,degree,recovered_omega,recovered_amplitude,search_score
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,15,7,77.22882882882884,0.11400465639088679,9.939360468266443
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,15,12,77.15185185185186,0.0857624012952867,10.351245904413986
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,16,7,54.597597597597606,0.06938816820615908,11.601465609315028
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,16,12,54.75155155155156,0.0522020533920465,12.220754028204567
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,17,7,69.83903903903904,0.1268283830526439,8.630068949137183
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,17,12,69.76206206206207,0.025028823452624884,9.32960081906893
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,18,7,35.199399399399404,0.02637120249623879,10.4768915160397
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,18,12,35.12242242242243,0.030462171820687754,10.042321677091877
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,19,7,66.75995995995997,0.039025807111953,10.554078412754166
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,19,12,66.75995995995997,0.022374766728217352,11.169527137835018
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,20,7,71.22462462462462,0.06158595099864643,6.822433581798521
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,20,12,71.22462462462462,0.060143463925994636,6.834828966827928
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,21,7,36.35405405405406,0.16586488288884763,13.278613839160982
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,21,12,36.27707707707708,0.10449732387177758,14.855134612166921
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,22,7,24.653553553553557,0.09517107660045732,9.08261021338376
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,22,12,24.653553553553557,0.0126080864330867,10.080506019777545
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,23,7,34.50660660660661,0.10809320551917341,12.417486545004124
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,23,12,34.50660660660661,0.06398978591291017,11.78566738279423
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,24,7,79.6920920920921,0.05183351817021571,8.584303005943326
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,24,12,79.6920920920921,0.02380288483974075,8.499994026229672
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,25,7,61.52552552552554,0.13056409713714898,9.221914755910575
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,25,12,30.73473473473474,0.042772403855422476,8.689166317028935
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,26,7,41.04964964964966,0.03774176481608553,11.760167868505562
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,26,12,40.97267267267268,0.03480820620619001,10.559993395674582
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,27,7,21.651451451451454,0.07845010604989291,10.987934392909551
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,27,12,21.80540540540541,0.026646839389566922,10.180743108968898
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,28,7,44.12872872872874,0.09677064117649528,17.250219716809482
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,28,12,44.12872872872874,0.053255411501095605,17.029076673253684
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,29,7,48.5933933933934,0.2072715334153882,11.080846324357566
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,29,12,48.516416416416426,0.12253967706053677,10.96048903546449
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,30,7,11.02862862862863,0.0773784264733914,9.340135505112329
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,30,12,11.105605605605607,0.08683597017691402,9.152570106498132
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,31,7,46.591991991991996,0.0757347107732497,12.180558704922987
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,31,12,46.668968968968976,0.059590632269009576,11.885570375374641
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,32,7,19.573073073073076,0.11364086368950765,7.058636771931845
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,32,12,14.415615615615616,0.11492685034331841,6.826723146969073
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,33,7,62.21831831831833,0.061825907377563966,12.038215969095972
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,33,12,62.14134134134135,0.03153944682416793,11.468951441208958
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,34,7,57.06086086086087,0.009756520927287063,8.817814722937726
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,34,12,16.032132132132134,0.044154965250456264,8.888151793211364
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,35,7,54.05875875875877,0.1339323117263094,14.445355495699232
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,35,12,54.05875875875877,0.02082100955494598,14.376498616654885
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,36,7,22.729129129129134,0.019698986718840367,12.661983566137394
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,36,12,22.652152152152155,0.05315594397829648,11.435938564510309
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,37,7,29.272172172172176,0.03372859845652808,10.854921785528177
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,37,12,29.272172172172176,0.03802916424137187,10.25292426020249
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,38,7,66.14414414414415,0.056106304082868604,9.873220219334542
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,38,12,66.14414414414415,0.08195282473091742,10.000167034738638
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,39,7,25.88518518518519,0.03133302917945508,5.888594853456482
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,39,12,37.97057057057058,0.039704743970631534,5.357889590752734
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,40,7,41.51151151151152,0.0682197524595212,7.781526608014673
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,40,12,41.43453453453454,0.028437557473067913,7.479619071483398
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,41,7,41.51151151151152,0.1280056683143865,8.524202230896634
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,41,12,41.66546546546547,0.05030530648390544,8.655217748962912
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,42,7,33.197997997998,0.08656079580975348,8.838648629901826
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,42,12,33.27497497497498,0.020771195025610013,8.893963018594718
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,43,7,43.20500500500501,0.09667717130886132,7.174178875288646
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,43,12,51.05665665665666,0.02593876068678468,7.144725262774273
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,44,7,10.181881881881884,0.06558201452741029,6.879205789298112
