label,split,model,predictive_deviance
G1,2,pois_poly20,357.84386521571946
G1,2,pspline_8_0.1,372.9272336133089
G1,2,pspline_8_1,375.4186384846913
G1,2,pspline_8_10,415.17518230080634
G1,2,pspline_8_100,564.4441130737832
G1,2,pspline_16_0.1,357.48288543178353
G1,2,pspline_16_1,359.0545189693438
G1,2,pspline_16_10,368.4002649220314
G1,2,pspline_16_100,421.6440887697594
G1,2,pspline_24_0.1,366.59970737675513
G1,2,pspline_24_1,358.3757742766128
G1,2,pspline_24_10,362.5226174776367
G1,2,pspline_24_100,381.6695546331407
G1,2,pspline_40_0.1,389.32857121928015
G1,2,pspline_40_1,377.1091261270916
G1,2,pspline_40_10,364.07987414938793
G1,2,pspline_40_100,368.63044167647934
G1,2,cms_dijet_form,664.160180062299
G1,2,local_0.15,373.53497298899964
G1,2,local_0.3,431.51747420244885
G1,2,local_0.5,564.6344685953995
G1,2,cheb_d5,608.2454401217681
G1,2,cheb_d6,556.7713703172985
G1,2,cheb_d7,551.6163468521445
G1,2,cheb_d8,440.40452497365743
G1,2,cheb_d9,393.0807023724998
G1,2,cheb_d10,378.71615528696503
G1,2,cheb_d11,375.1310889866297
G1,2,cheb_d12,370.3759645267623
G1,2,bernstein_d5,608.2454401217683
G1,2,bernstein_d7,551.6163468521416
G1,2,bernstein_d9,393.0807023725017
G1,2,bernstein_d12,370.3759645267583
G1,2,spline_s0.5,433.9595121998889
G1,2,spline_s1,382.8712296446272
G1,2,spline_s2,710.2539801217785
G1,2,cheb_d2,3577.6420724234645
G1,2,cheb_d3,701.8024727955267
G1,2,cheb_d14,373.37413238694865
G1,2,cheb_d16,364.42002996870787
G1,2,cheb_d20,368.2500108025038
G1,2,spline_s0.25,488.07157844898785
G1,2,spline_s1.5,543.3973806514349
G1,2,spline_s3.0,701.8024727955253
G1,2,spline_s4.0,701.8024727955253
G1,3,pois_poly2,3078.8380846383798
G1,3,pois_poly3,678.4312580352262
G1,3,pois_poly5,560.0900089168509
G1,3,pois_poly7,502.2320344227044
G1,3,pois_poly9,370.9973281869085
G1,3,pois_poly12,357.76970975606366
G1,3,pois_poly16,356.15357281075615
G1,3,pois_poly20,348.03939213091445
G1,3,pspline_8_0.1,363.5382889935257
G1,3,pspline_8_1,361.8119582595135
G1,3,pspline_8_10,394.05057740552115
G1,3,pspline_8_100,554.8531746476449
G1,3,pspline_16_0.1,350.0874571648671
G1,3,pspline_16_1,351.08262042065303
G1,3,pspline_16_10,358.2067265920863
G1,3,pspline_16_100,402.3324389840496
G1,3,pspline_24_0.1,366.57106144512204
G1,3,pspline_24_1,362.1517329308934
G1,3,pspline_24_10,360.6254375478511
G1,3,pspline_24_100,367.6683616733173
G1,3,pspline_40_0.1,369.41994038103496
G1,3,pspline_40_1,365.40719547287387
G1,3,pspline_40_10,361.8816414480292
G1,3,pspline_40_100,362.1010244523272
G1,3,cms_dijet_form,643.5513667169872
G1,3,local_0.15,391.3428907720477
G1,3,local_0.3,443.0256473505011
G1,3,local_0.5,591.5580124790014
G1,3,cheb_d5,585.9484475421981
G1,3,cheb_d6,545.1448675269089
G1,3,cheb_d7,535.7214891706078
G1,3,cheb_d8,448.6801369975776
G1,3,cheb_d9,411.4226604622188
G1,3,cheb_d10,402.51701168332943
G1,3,cheb_d11,398.70642085914136
G1,3,cheb_d12,393.17730159190586
G1,3,bernstein_d5,585.9484475421968
G1,3,bernstein_d7,535.7214891706092
G1,3,bernstein_d9,411.4226604622187
G1,3,bernstein_d12,393.1773015918993
G1,3,spline_s0.5,475.99336122614324
G1,3,spline_s1,401.8207934781436
G1,3,spline_s2,689.1744559246512
G1,3,cheb_d2,3776.863974539424
G1,3,cheb_d3,699.4022576537433
G1,3,cheb_d14,394.90322358288535
G1,3,cheb_d16,388.63597034062366
G1,3,cheb_d20,380.4023135646971
G1,3,spline_s0.25,516.4383673671844
G1,3,spline_s1.5,480.538192578348
G1,3,spline_s3.0,699.402257653747
G1,3,spline_s4.0,699.402257653747
G1,4,pois_poly2,3117.5650454259508
G1,4,pois_poly3,687.9168652072224
G1,4,pois_poly5,559.7595728440809
G1,4,pois_poly7,491.2481808946726
G1,4,pois_poly9,358.7461233591455
G1,4,pois_poly12,343.4052369417637
G1,4,pois_poly16,340.13953468009896
G1,4,pois_poly20,344.0849104292943
G1,4,pspline_8_0.1,347.97210850442775
G1,4,pspline_8_1,347.94812354358123
G1,4,pspline_8_10,386.9505466280973
G1,4,pspline_8_100,562.6533831154464
G1,4,pspline_16_0.1,336.77263727273123
G1,4,pspline_16_1,337.8490365983944
G1,4,pspline_16_10,344.69409413864435
G1,4,pspline_16_100,400.34369297936837
G1,4,pspline_24_0.1,338.1301041442622
G1,4,pspline_24_1,335.8343302781177
G1,4,pspline_24_10,340.53228503173057
G1,4,pspline_24_100,358.95775735753716
