label,variant,model,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,log_300_shift0.5,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",248,242,1.9077609798317638,12.625184892199933,1.0650481761662443,-0.27279870662302075,133.68399160565878,-0.04140702132980285,1.067535194280186,133.43630759495022,3.628700821544258e-31,True
H2,log_300_shift0.5,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",248,247,1.1301238854637634,4.733824788220681,0.05276728421936125,3.0392077239897417,0.320109612516319,-3.012585897896627,-0.05180529059366476,0.0,1.0,False
H2,log_300_shift0.5,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",248,248,1.0108924966000086,3.109647169064464,0.010913186808629377,-3.1295922113716297,0.013518101398517501,-2.8982005260784116,-0.010388711945143101,0.0,1.0,False
H2,log_300_shift0.5,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",248,242,1.8686503848524105,11.314271036764742,1.1202029537966893,-0.03930442886868448,143.18554692302712,0.19208725642453342,1.0831081529033848,137.35777976391626,5.035172347961013e-32,True
H2,log_300_shift0.75,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",246,238,1.836612935212933,10.225750209279692,1.0970610233543485,-0.331011441301601,141.06687302760383,-0.09961975600838308,1.0998677710537816,139.55510898074624,1.6652222292073195e-32,True
H2,log_300_shift0.75,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",246,246,1.0692306158962595,3.0986886121211015,0.1025296914092872,-2.590742739536128,1.185249235194874,-2.35935105424291,-0.0672660661351599,0.0,1.0,False
H2,log_300_shift0.75,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",246,246,1.0107795948077156,2.928953554157886,0.015040576981010698,-1.4179532691717542,0.029856836351939364,-1.1865615838785364,0.006691774959155893,0.005165917218590721,0.4713509652444272,True
H2,log_300_shift0.75,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",246,238,1.818110786303423,8.738197929877918,1.172345431119547,-0.01111810122206561,154.24983567436698,0.2202735840711523,1.1246599410703988,145.91745301878177,6.7663921166118525e-34,True
H2,log_350_shift0.0,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,278,1.8182037097551353,12.468144924877697,0.9368149217260224,-0.3060043140772712,118.94119682705707,-0.07461262878405328,0.9393397880435898,118.21602392303373,7.77480232029146e-28,True
H2,log_350_shift0.0,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",287,287,1.0530075574201883,3.172650340195715,0.09502136665645529,-2.3449138718677607,1.2333395576895327,-2.1135221865745426,-0.04309708634116041,0.0,1.0,False
