label,model,search,omega,amplitude,phase,delta_chi2,local_p_chi2_2dof,c0,cos_coeff,sin_coeff
H2,cheb_d12,0.5:160:4000,122.58789697424355,0.31926291946196694,0.11510331826287579,14.582165746816258,0.0006815895777620552,-0.13052312393678114,0.31715033232697815,0.03666713035220655
H2,cheb_d12,fixed_control,3.5129129129129133,0.0284417305081348,0.9552995622380538,0.11243294868108933,0.9453344730824177,-0.1301129827714522,0.01642123684431657,0.02322229564018652
H2,cheb_d12,fixed_control,7.025825825825827,0.09502136665646493,-2.3449138718676332,1.2333395576897033,0.5397388978573752,-0.12346315064946348,-0.06642804618588306,-0.0679439092280429
H2,cheb_d12,fixed_control,14.051651651651653,0.00768924905191539,1.893536959504612,0.008481938446436743,0.9957680109873402,-0.13162891550928246,-0.0024387751438788687,0.007292251146249718
H2,cheb_d12,fixed_control,6.025825825825827,0.006057532406029593,-2.281811076509513,0.004765464424224319,0.9976201042410018,-0.13252344531316013,-0.003953163716489175,-0.004589792531338661
H2,cheb_d12,fixed_control,8.025825825825827,0.13179783093453198,0.5403900820849334,2.537879540394613,0.2811295257287454,-0.1423814048519031,0.1130177024319567,0.06780609984396067
H2,cheb_d12,fixed_control,9.7,0.0861564715882425,1.8816057566176427,1.0585718265077162,0.5890254347923314,-0.14211012520143468,-0.026349180600559546,0.08202839921767785
H2,cheb_d12,linear_mass_2to50cycles,2.0611355069360426,0.22932662150073116,-2.903207678077764,7.088966599357661,0.028883542790532554,-0.1348611858523794,-0.22284140303769817,-0.05415171669605473
H2,spline_s1,0.5:80:3000,78.46248749583194,0.2401318357792194,3.106348745677286,8.252252849257161,0.016145297880311823,-0.1277051739081144,-0.23998271337181823,0.008461432349060358
H2,spline_s1,3.1:80:1000,78.46046046046047,0.24014338756223966,3.100551271744148,8.253161260232673,0.01613796626256969,-0.12770998044157558,-0.23994116778595828,0.009853049851627242
H2,spline_s1,5:9:1001,9.0,0.07409858240693548,0.9101510568505684,0.8238636259304712,0.6623694395203227,-0.1274877699483229,0.04546885248346126,0.05850797696515106
H2,spline_s1,0.5:160:4000,122.58789697424355,0.3086151698945596,0.09780902694868823,13.626394487153448,0.001099172952229861,-0.12588900361405855,0.30714014654132243,0.030137243928781515
H2,spline_s1,fixed_control,3.5129129129129133,0.01981865702619665,1.102014601439728,0.05285241373564986,0.9739199097845264,-0.12588524840315438,0.008954064775780268,0.017680607747279076
H2,spline_s1,fixed_control,7.025825825825827,0.034466073740690446,-2.2883137833526597,0.16383637814288932,0.9213473318938752,-0.12418442294613122,-0.022662003613547914,-0.02596813107095412
H2,spline_s1,fixed_control,14.051651651651653,0.05454032179829621,1.3028660251235182,0.44673008436080863,0.7998228269288772,-0.12425921186988306,0.01443879491122621,0.05259437140391786
H2,spline_s1,fixed_control,6.025825825825827,0.013972098625835648,-2.6452669909217423,0.02770449117303997,0.9862432552916073,-0.12832404814923307,-0.01228620012676148,-0.006653482280373533
H2,spline_s1,fixed_control,8.025825825825827,0.04183046340900008,-0.7569336826840234,0.24800624696393925,0.8833770816660548,-0.12544162127669053,0.030408448382405716,-0.028724796535158643
H2,spline_s1,fixed_control,9.7,0.07753572872373347,2.140274824077096,0.8434166710495106,0.6559253216116994,-0.13545214435758407,-0.041806716108756206,0.06529921681706644
H2,spline_s1,linear_mass_2to50cycles,2.058577076516262,0.2795096149569246,-3.140688108444864,10.610483622138418,0.0049654973710249245,-0.1258707054488429,-0.2795095006092807,-0.00025282903069274055
H2,spline_s2,0.5:80:3000,3.0448482827609205,1.1958557087185095,1.5542936738912874,200.13880197117578,3.470654198964317e-44,0.145971976028565,0.019733895941832946,1.1956928742054147
H2,spline_s2,3.1:80:1000,3.1,1.1798892274720416,1.7195388758020314,199.60349685884512,4.5357736406052e-44,0.12746013740081835,-0.17485331061032205,1.1668611352141185
H2,spline_s2,5:9:1001,5.416,1.1843068084503718,-0.12152156512890885,178.38409027027012,1.838175478007281e-39,0.15161129686156335,1.1755729445517302,-0.1435648584434245
H2,spline_s2,0.5:160:4000,3.052638159539885,1.1939761509019842,1.5773576615528115,200.18750848694242,3.387153347969719e-44,0.14336499428527832,-0.0078340210081973,1.1939504499926121
H2,spline_s2,fixed_control,3.5129129129129133,0.9679857709557865,3.079651637918285,149.0151486576575,4.383001396152626e-33,0.016925207696125235,-0.9661294342010547,0.05991968911149719
H2,spline_s2,fixed_control,7.025825825825827,1.1371464579865516,0.1436005411364416,167.24879397236293,4.812667261268642e-37,-0.09423060932521081,1.1254419778509985,0.1627342047702096
H2,spline_s2,fixed_control,14.051651651651653,0.2698697224128347,3.1117001689843247,9.982596008258952,0.006796836442277919,0.01535423618419989,-0.2697491589104194,0.008065875172711734
H2,spline_s2,fixed_control,6.025825825825827,0.8047458998015681,2.180562331355184,91.72180172578089,1.2102185909742554e-20,0.1298232909053484,-0.4608583816725939,0.65971623846132
H2,spline_s2,fixed_control,8.025825825825827,0.3746205507555981,-3.040927711201816,20.967172133383883,2.7992160568365352e-05,0.0505278692071509,-0.3727240573849521,-0.037647497857448114
H2,spline_s2,fixed_control,9.7,0.17984247820756225,3.0657872378998796,4.440441459859358,0.10858513818962023,0.030105105023748795,-0.17932599670915203,0.013619980620643294
H2,spline_s2,linear_mass_2to50cycles,0.29070165644761253,1.0560380510133018,-2.0215946209344464,175.5492626208927,7.585111527026207e-39,0.277981513597673,-0.4600991114662858,-0.9505394115006003
H2,pois_poly12,0.5:80:3000,28.49333111037012,0.2743286250579468,-1.733170109117373,10.98776354855778,0.004111851874243191,0.0008267291660796149,-0.04434829971966589,-0.2707201928895557
H2,pois_poly12,3.1:80:1000,28.502402402402407,0.27435461597117766,-1.7062373173648582,10.988973513153667,0.004109365028972042,0.0009928848898184755,-0.037045356466040916,-0.27184204396854494
H2,pois_poly12,5:9:1001,7.78,0.14691619046182988,-0.14887844878881665,3.001528703117401,0.22295967542615913,-0.00943527467397369,0.1452910121638829,-0.02179194356203929
H2,pois_poly12,0.5:160:4000,122.58789697424355,0.32158648959533054,0.11885823811785524,14.795042995538381,0.0006127696314683719,0.0013918908113347405,0.31931759128186155,0.03813326878458848
H2,pois_poly12,fixed_control,3.5129129129129133,0.00771309426553136,0.48984332029681155,0.00912422622690201,0.9954482775174956,0.0005222442904928373,0.006806085172977738,0.003628915508405417
H2,pois_poly12,fixed_control,7.025825825825827,0.10161350707197728,-2.335537862421349,1.412623410062963,0.49346087444161235,0.008946404949837608,-0.07035216484586043,-0.07332037725603746
H2,pois_poly12,fixed_control,14.051651651651653,0.01749675426545074,2.441269032085074,0.04167364814526309,0.9793787625693389,-0.00031521183270461064,-0.013378607331539082,0.011276048762490231
H2,pois_poly12,fixed_control,6.025825825825827,0.01603905280842499,1.737204063496027,0.032802123223916624,0.9837327035039961,0.0026613299495643512,-0.0026567212994811646,0.015817491802695163
H2,pois_poly12,fixed_control,8.025825825825827,0.13867774171295102,0.5481218905474257,2.8078953410710596,0.24562539934311903,-0.011099941095088354,0.11836210180727648,0.07226291512503406
H2,pois_poly12,fixed_control,9.7,0.09532225105631147,1.9392760247801986,1.291181423741989,0.5243527092346913,-0.01111888621274156,-0.03433484562479537,0.08892384338502213
H2,pois_poly12,linear_mass_2to50cycles,1.4292031932501434,0.2244842506172971,-0.1908185841461286,7.500003399591549,0.023517705880678055,0.0075102000490054515,0.22040970640083735,-0.04257628564713143
G1,cheb_d7,0.5:80:3000,7.392297432477492,1.0336816694024904,1.0874288849998286,144.29149958120206,4.650492766190287e-32,-0.12340943253154664,0.48041746452073597,0.9152578070916342
G1,cheb_d7,3.1:80:1000,7.4107107107107115,1.0316084499279818,1.145566540523337,144.12658743406166,5.050207132479166e-32,-0.12003130593586607,0.4255695525349803,0.9397374898970404
G1,cheb_d7,5:9:1001,7.384,1.0343898805839349,1.0611178750430352,144.31070867152926,4.60604071098499e-32,-0.12491365620735624,0.5046752977256013,0.902920411176989
G1,cheb_d7,0.5:160:4000,7.400100025006251,1.0328871394188823,1.1121063529954454,144.2421555450287,4.766656917400679e-32,-0.12198412976349912,0.4573354402364077,0.9261210168658808
G1,cheb_d7,fixed_control,3.5129129129129133,0.4146273823152252,1.869116634208819,22.11604245841488,1.5760224492193964e-05,-0.0387783519096644,-0.12186525637755738,0.3963139228611684
G1,cheb_d7,fixed_control,7.025825825825827,0.9348331978095672,-0.1568030274297145,115.88074417238386,6.867776028680651e-26,-0.15895286875941542,0.9233642653433118,-0.14598472938587578
G1,cheb_d7,fixed_control,14.051651651651653,0.27080802945258964,3.0527729075372827,10.00820679469848,0.0067103551740565585,-0.07522936228145562,-0.2697405363776707,0.024021487270382894
G1,cheb_d7,fixed_control,6.025825825825827,0.7633256528824172,1.5487451762044473,72.14257754799792,2.1599233045346013e-16,0.06398400273287023,0.016830844835067582,0.7631400756155493
G1,cheb_d7,fixed_control,8.025825825825827,0.7054563751432377,2.9812263564581647,74.06183099062469,8.273280338485043e-17,-0.04280631053651655,-0.696404565167752,0.11264714307851251
G1,cheb_d7,fixed_control,9.7,0.20510415452633265,-2.1473861292218426,6.109686064517405,0.047130118097926756,-0.03746711817872815,-0.11181627356869214,-0.17194427925689515
G1,cheb_d7,linear_mass_2to50cycles,0.2753510739289267,1.0181663497591273,2.899450698519612,118.0504216241859,2.3210080735195583e-26,-0.0420636104003066,-0.98846297420759,0.2441386171880861
G1,cheb_d12,0.5:80:3000,80.0,0.37251926977498623,-2.435484660801047,19.84727576216335,4.9002566627044475e-05,-0.14745343879899778,-0.28344732992053323,-0.24171929487446664
G1,cheb_d12,3.1:80:1000,80.0,0.37251926977498623,-2.435484660801047,19.84727576216335,4.9002566627044475e-05,-0.14745343879899778,-0.28344732992053323,-0.24171929487446664
G1,cheb_d12,5:9:1001,7.976,0.12320275136225459,0.9397283832259318,2.091515713918568,0.3514253882563199,-0.15845871633098288,0.07269052879448708,0.0994736395574595
G1,cheb_d12,0.5:160:4000,80.07051762940735,0.37531089820858865,-2.244997409689446,20.114085470889165,4.288267175409836e-05,-0.14704351316807665,-0.23429660944223374,-0.29319510418492833
G1,cheb_d12,fixed_control,3.5129129129129133,0.051989169142661565,0.8576946410541638,0.38421710979588397,0.8252172822514031,-0.14307554286799964,0.034010421903127516,0.03932130351495913
G1,cheb_d12,fixed_control,7.025825825825827,0.059850322308250214,-1.4380745077160915,0.5517010548369967,0.7589263609660206,-0.14604341482257724,0.007920143446195804,-0.059323961501176865
G1,cheb_d12,fixed_control,14.051651651651653,0.03421387119825574,-2.7529918541340974,0.16734170377816326,0.9197339349665444,-0.14847394953606688,-0.03166288886706581,-0.012963427438863293
G1,cheb_d12,fixed_control,6.025825825825827,0.04452145581589386,-2.305446528293203,0.25879173311113846,0.8786260780124705,-0.15173949266396058,-0.02984396166430254,-0.033037826504572446
G1,cheb_d12,fixed_control,8.025825825825827,0.1226378019647032,1.0789066969247447,2.0826820400614565,0.3529810098232149,-0.15835364589519427,0.05792089317124173,0.10809810638942462
