folds,block,winner,name,family,degree,spline_smoothing_factor,a_failed,b_failed,failed,a_total_poisson_deviance,b_total_poisson_deviance,a_deviance_per_bin,b_deviance_per_bin,combined_validation_bins,combined_total_poisson_deviance,combined_deviance_per_bin
3,32,spline_s2,bernstein_d9,bernstein,9,1.0,,,,6236044.2897728365,24475.970086305133,21728.37731628166,85.28212573625481,574,6260520.259859142,10906.829721008959
3,32,spline_s2,bernstein_d12,bernstein,12,1.0,,,,2.0698608807623983e+23,2.099686775940279e+23,7.21205881798745e+20,7.315981797701321e+20,574,4.169547656702677e+23,7.264020307844385e+20
3,32,spline_s2,spline_s0.5,spline,7,0.5,,,,4.355524885602775e+23,3.0929293226778256e+23,1.5176044897570644e+21,1.0776757221873957e+21,574,7.448454208280601e+23,1.2976401059722303e+21
3,32,spline_s2,spline_s1,spline,7,1.0,,,,31517471079571.047,6784343.379511762,109816972402.68657,23638.82710631276,574,31517477863914.426,54908498020.756836
3,32,spline_s2,spline_s2,spline,7,2.0,,,,3105.4192341110374,2365.989020555751,10.820276077041942,8.243864183121083,574,5471.408254666789,9.532070130081513
5,1,bernstein_d12,cheb_d5,chebyshev,5,1.0,,,,790.4231091618067,933.2838677953808,2.7540874883686643,3.251860166534428,574,1723.7069769571876,3.0029738274515463
5,1,bernstein_d12,cheb_d6,chebyshev,6,1.0,,,,741.1775521552418,834.5271882648536,2.582500181725581,2.9077602378566327,574,1575.7047404200953,2.745130209791107
5,1,bernstein_d12,cheb_d7,chebyshev,7,1.0,,,,818.3851710021366,854.1429713490475,2.851516275268769,2.976107914108179,574,1672.5281423511842,2.9138120946884745
5,1,bernstein_d12,cheb_d8,chebyshev,8,1.0,,,,589.3085976301523,579.5209992636223,2.053340061429102,2.0192369312321334,574,1168.8295968937746,2.036288496330618
5,1,bernstein_d12,cheb_d9,chebyshev,9,1.0,,,,413.9191345377447,500.26200812127706,1.4422269496088664,1.74307319902884,574,914.1811426590218,1.5926500743188534
5,1,bernstein_d12,cheb_d10,chebyshev,10,1.0,,,,419.09318959454646,472.5216828613163,1.4602550160088728,1.6464170134540639,574,891.6148724558627,1.553336014731468
5,1,bernstein_d12,cheb_d11,chebyshev,11,1.0,,,,395.41097974743036,474.44053395515715,1.3777386053917433,1.653102905767098,574,869.8515137025875,1.5154207555794206
5,1,bernstein_d12,cheb_d12,chebyshev,12,1.0,,,,366.42109457708375,465.94307987380955,1.276728552533393,1.6234950518251203,574,832.3641744508933,1.4501118021792567
5,1,bernstein_d12,bernstein_d5,bernstein,5,1.0,,,,790.4231091618053,933.2838677953804,2.7540874883686595,3.2518601665344264,574,1723.7069769571858,3.002973827451543
5,1,bernstein_d12,bernstein_d7,bernstein,7,1.0,,,,818.3851710021366,854.1429713490504,2.851516275268769,2.9761079141081894,574,1672.528142351187,2.913812094688479
