label,start,size,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
G1,253,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7268312752113486,8.46787115123702,0.9361456155743043,-0.15489979492658085,115.81840699231361,0.07649189036663706,0.9279223272240378,115.06011249638163,3.817384392448173e-27,True
G1,254,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.727002449010295,8.492967702545679,0.9441899047379403,-0.14949824772814369,117.79398706602592,0.08189343756507422,0.9351132607044544,116.91051517199958,1.501581764047164e-27,True
G1,255,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7011758073715637,8.14311796420217,0.9367568123973459,-0.12706742586602643,115.66662849908153,0.10432425942719148,0.9242190101524976,114.25803158663894,5.7204364890467494e-27,True
G1,256,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7088176919091436,8.235774045353637,0.9446708441644254,-0.13219943187576963,117.76555964638123,0.09919225341744829,0.9329171441513834,116.47064889172668,1.874432521530148e-27,True
G1,257,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7449731739794916,8.953894665580874,0.9351776139124058,-0.1277092171763021,115.39725613555652,0.10368246811691581,0.9228372480055669,114.01170321821019,6.47708314229231e-27,True
G1,258,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7089084981478821,8.235499394186615,0.945009539074118,-0.1330581173271309,117.9645207055271,0.098333567966087,0.9334719313952461,116.69184528940741,1.6766113421066373e-27,True
G1,259,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.726363767019737,8.46242984698062,0.9338074231962401,-0.15777194488760826,115.593611074872,0.07361974040560965,0.9261513881085589,114.89625741014629,4.1462059133152334e-27,True
G1,260,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7077662165021994,8.227785969245792,0.9447234493818151,-0.1356280642975664,118.00096442762072,0.0957636209956515,0.9337024399570076,116.7949718807705,1.5916591830258517e-27,True
G1,261,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.727412421371762,8.476227618987297,0.9351860432017097,-0.15555801689268378,115.94440670037864,0.07583366840053413,0.9272901340052331,115.20256049423926,3.5527897858929186e-27,True
G1,262,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7460008400809384,8.944885242179415,0.9281145026233701,-0.13201745893735395,113.8638679200767,0.09937422635586396,0.9168209777049298,112.61087388762701,1.312818924455879e-26,True
