mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
3.230931225225274428e+00,3.268949004927863999e+00,3.249884523131633784e+00,6.300000000000000000e+01,4.631714487757685106e+01,2.451317062272048819e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.268949004927863999e+00,3.307414132925035055e+00,3.288125322841215503e+00,5.000000000000000000e+01,4.495924202928899405e+01,7.517723615657166958e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.307414132925035055e+00,3.346331873082753372e+00,3.326816095081211788e+00,4.300000000000000000e+01,4.364924608441445741e+01,-9.827000216812513400e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.346331873082753372e+00,3.385707551205937360e+00,3.365962134596494071e+00,3.200000000000000000e+01,4.238697139531603142e+01,-1.595411588311842932e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.385707551205937360e+00,3.425546555767282175e+00,3.405568798434231770e+00,3.100000000000000000e+01,4.117203708143073726e+01,-1.585282834420624676e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.425546555767282175e+00,3.465854338644661414e+00,3.445641506676994759e+00,3.300000000000000000e+01,4.000389478819563038e+01,-1.107359090842373162e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.465854338644661414e+00,3.506636415867202761e+00,3.486185743184477825e+00,3.500000000000000000e+01,3.888185402596140250e+01,-6.225377867330720294e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.506636415867202761e+00,3.547898368370145050e+00,3.527207056343954150e+00,3.100000000000000000e+01,3.780510517884267330e+01,-1.106775703341197792e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.547898368370145050e+00,3.589645842758575789e+00,3.568711059829560384e+00,3.000000000000000000e+01,3.677274029099305608e+01,-1.116866912685960056e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.589645842758575789e+00,3.631884552080157480e+00,3.610703433370515469e+00,5.800000000000000000e+01,3.578377175019947742e+01,3.713874904765588347e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.631884552080157480e+00,3.674620276606944458e+00,3.653189923528378014e+00,8.800000000000000000e+01,3.483714899676313337e+01,9.007140974688523372e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.674620276606944458e+00,3.717858864626400806e+00,3.696176344483450560e+00,1.120000000000000000e+02,3.393177339008801852e+01,1.340204386688076887e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.717858864626400806e+00,3.761606233241723718e+00,3.739668578830437795e+00,5.000000000000000000e+01,3.306651136688365966e+01,2.944775910208629721e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.761606233241723718e+00,3.805868369181587330e+00,3.783672578383464380e+00,2.500000000000000000e+01,3.224020602397396118e+01,-1.275122826362964590e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.805868369181587330e+00,3.850651329619413143e+00,3.828194364990569198e+00,2.900000000000000000e+01,3.145168725589191538e+01,-4.371626956699611322e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.850651329619413143e+00,3.895961243002279417e+00,3.873240031357781277e+00,1.100000000000000000e+01,3.069978057316046005e+01,-3.555443266638488531e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.895961243002279417e+00,3.941804309889585411e+00,3.918815741882893278e+00,2.500000000000000000e+01,2.998331472178811197e+01,-9.100777449624025683e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.941804309889585411e+00,3.988186803801585079e+00,3.964927733499043150e+00,2.000000000000000000e+01,2.930112821835219350e+01,-1.718278119510358248e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.988186803801585079e+00,4.035115072077902987e+00,4.011582316528226499e+00,2.100000000000000000e+01,2.865207490837046223e+01,-1.429556003975027911e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.035115072077902987e+00,4.082595536746153719e+00,4.058785875544851152e+00,2.300000000000000000e+01,2.803502864868749711e+01,-9.509363391159371126e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.082595536746153719e+00,4.130634695400781986e+00,4.106544870249446255e+00,1.400000000000000000e+01,2.744888720750262934e+01,-2.566988836428520049e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.130634695400781986e+00,4.179239122092245573e+00,4.154865836352665376e+00,1.900000000000000000e+01,2.689257546858242875e+01,-1.521957570602367138e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.179239122092245573e+00,4.228415468226653928e+00,4.203755386469677724e+00,1.600000000000000000e+01,2.636504801924755981e+01,-2.018631449483570872e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.228415468226653928e+00,4.278170463476005381e+00,4.253220211025093178e+00,2.200000000000000000e+01,2.586529119497907203e+01,-7.600173932523982545e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.278170463476005381e+00,4.328510916699120692e+00,4.303267079168526799e+00,1.600000000000000000e+01,2.539232464702638481e+01,-1.863896808100954816e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.328510916699120692e+00,4.379443716873425707e+00,4.353902839700950267e+00,1.500000000000000000e+01,2.494520249325354300e+01,-1.991223977986661176e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.379443716873425707e+00,4.430975834037688799e+00,4.405134422011926176e+00,2.400000000000000000e+01,2.452301410666938608e+01,-1.056152128880196578e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.430975834037688799e+00,4.483114320245855211e+00,4.456968837027883268e+00,1.800000000000000000e+01,2.412488459066486612e+01,-1.246996652447280640e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.483114320245855211e+00,4.535866310532108869e+00,4.509413178171548964e+00,1.400000000000000000e+01,2.374997498493428338e+01,-2.000653707193336572e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.535866310532108869e+00,4.589239023887276225e+00,4.562474622332660878e+00,2.600000000000000000e+01,2.339748224138846311e+01,5.380332784551536962e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.589239023887276225e+00,4.643239764246740009e+00,4.616160430850112739e+00,2.200000000000000000e+01,2.306663900506858411e+01,-2.220881065877372829e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.643239764246740009e+00,4.697875921489959694e+00,4.670477950505651954e+00,1.800000000000000000e+01,2.275671323112809930e+01,-9.971309611838107267e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.697875921489959694e+00,4.753154972451761218e+00,4.725434614529270938e+00,2.300000000000000000e+01,2.246700766535390770e+01,1.124471225055296425e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.753154972451761218e+00,4.809084481945526512e+00,4.781037943616426311e+00,2.000000000000000000e+01,2.219685921242701099e+01,-4.662903867676482239e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.809084481945526512e+00,4.865672103798418746e+00,4.837295546957227188e+00,1.800000000000000000e+01,2.194563821316030783e+01,-8.422541380572038383e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.865672103798418746e+00,4.922925581898790703e+00,4.894215123277739998e+00,1.900000000000000000e+01,2.171274764927733969e+01,-5.821729242378373970e-01,1.000000000000000000e+00,1.000000000000000000e+00
